frame_time_s,rms,spectral_centroid_hz,zcr,f0_hz
25.4438,0.0631383,3383.19,0.267578,68.6977
25.5366,0.0408547,2863.19,0.144043,66.742
25.6295,0.15946,1225.3,0.0551758,
25.7223,0.142151,1651.86,0.0625,96.5936
25.8152,0.207471,2587.17,0.0981445,260.87
25.9081,0.199485,2098.16,0.117676,260.87
26.0009,0.17242,3041.86,0.143555,262.382
26.0938,0.206579,2888.6,0.0820312,221.914
26.1866,0.247631,1894.82,0.0380859,232.409
26.2795,0.243736,1613.59,0.043457,232.409
26.3724,0.213418,2753.19,0.0805664,233.755
26.4652,0.184247,2041.28,0.0800781,232.409
26.5581,0.160579,2302.99,0.0839844,233.755
26.6509,0.249302,1871.15,0.0356445,235.11
26.7438,0.189862,1680.64,0.0668945,210.672
26.8367,0.211987,2622.13,0.097168,159.66
26.9295,0.214125,1572.99,0.0336914,208.252
27.0224,0.187844,2574,0.115723,208.252
27.1152,0.238353,3070.38,0.0830078,196.564
27.2081,0.216118,2053.85,0.0634766,195.432
27.301,0.215196,1719.2,0.0566406,196.564
27.3938,0.220266,2828.06,0.101074,196.564
27.4867,0.119826,3349.42,0.15625,195.432
27.5795,0.0801539,2349.81,0.105469,196.564
27.6724,0.145109,3474.59,0.239258,193.187
27.7653,0.213647,2103.02,0.0732422,208.252
27.8581,0.246595,1475.04,0.0463867,196.564
27.951,0.139256,4170.6,0.263672,195.432
28.0438,0.11897,3746.58,0.192383,183.401
28.1367,0.0861787,4005.78,0.280273,204.675
28.2296,0.155969,1964.33,0.176758,197.703
28.3224,0.110492,3128.78,0.148438,89.0899
28.4153,0.137446,2261.34,0.0898438,64.4685
28.5081,0.0873333,4397.11,0.398926,194.306
28.601,0.133396,2011.02,0.112793,129.684
28.6939,0.145514,3412.41,0.212402,134.257
28.7867,0.118973,3249.91,0.15918,128.937
28.8796,0.181991,2097.47,0.0864258,146.409
28.9725,0.0973158,2294.16,0.0820312,193.187
29.0653,0.0660197,1385.93,0.0517578,196.564
29.1582,0.197517,2751.66,0.116699,192.075
29.251,0.181752,2766.17,0.0610352,194.306
29.3439,0.22362,1619.02,0.0424805,207.053
29.4368,0.278098,1162.07,0.0292969,193.187
29.5296,0.169152,1669.46,0.0585938,197.703
29.6225,0.103521,1517.23,0.0400391,207.053
29.7153,0.235309,2969.73,0.0791016,195.432
29.8082,0.177426,2839.7,0.0537109,196.564
29.9011,0.241311,1023.76,0.0356445,196.564
29.9939,0.165846,2578.94,0.14502,200
30.0868,0.0899038,3312.24,0.249023,139.797
30.1796,0.061836,2220.89,0.0874023,198.848
30.2725,0.103242,2668.86,0.140625,195.432
30.3654,0.178926,2272.43,0.0722656,136.604
30.4582,0.0811947,1994.88,0.0620117,294.513
30.5511,0.150177,1070.58,0.065918,317.48
30.6439,0.168334,2041.23,0.0859375,
30.7368,0.14051,1602.76,0.0688477,
30.8297,0.130158,1476.11,0.0336914,227.101
30.9225,0.110689,1179.09,0.0292969,223.199
31.0154,0.125774,3417.69,0.226562,249.09
31.1082,0.105491,3329.84,0.239746,87.0551
31.2011,0.0902527,1571.83,0.0415039,188.775
31.294,0.0989637,820.44,0.0205078,87.5594
31.3868,0.105595,647.923,0.0200195,240.605
31.4797,0.196612,2439.61,0.131836,205.86
31.5725,0.147979,2041.34,0.104492,91.7004
31.6654,0.135681,1512.91,0.0522461,256.389
31.7583,0.232211,1806.04,0.0488281,202.324
31.8511,0.15063,2060.89,0.0712891,201.159
31.944,0.0953313,1577.69,0.0532227,195.432
32.0368,0.216747,2834.5,0.0864258,204.675
32.1297,0.134293,2454.29,0.0942383,204.675
32.2226,0.090841,1498.66,0.043457,218.102
32.3154,0.123758,2746.87,0.134766,219.365
32.4083,0.0837471,3444.06,0.256836,
32.5011,0.0349293,2038.29,0.0874023,
32.594,0.0865747,2112.59,0.0551758,
32.6869,0.147118,2613.37,0.133301,
32.7797,0.071222,3758.45,0.261719,
32.8726,0.138324,2720.05,0.153809,
32.9654,0.134718,3399.5,0.157227,
33.0583,0.0659356,1679.92,0.0473633,
33.1512,0.0368347,1025.7,0.0288086,
33.244,0.0732754,1517.75,0.0405273,
33.3369,0.112848,3492.33,0.280273,
33.4298,0.0902179,3946.72,0.354004,
33.5226,0.16914,1850.45,0.120117,592.439
33.6155,0.220439,1641.16,0.0454102,215.596
33.7083,0.210579,2560.22,0.0839844,262.382
33.8012,0.170262,2879.12,0.178711,90.125
33.8941,0.158874,1982.88,0.101562,259.368
33.9869,0.181873,2314.19,0.118652,262.382
34.0798,0.204929,1862.52,0.0615234,198.848
34.1726,0.178432,1621.33,0.0395508,211.893
34.2655,0.181549,1845.38,0.0615234,235.11
34.3584,0.23121,2094.56,0.0551758,225.793
34.4512,0.19613,2087.98,0.0913086,232.409
34.5441,0.248401,1630.98,0.0527344,232.409
34.6369,0.176832,3255.98,0.182617,232.409
34.7298,0.191996,2522.2,0.129883,232.409
34.8227,0.183875,3381.07,0.18457,232.409
34.9155,0.162946,2446.31,0.124512,274.791
35.0084,0.193141,2195.11,0.0756836,276.383
35.1012,0.24425,1909.97,0.050293,233.755
35.1941,0.251362,1649.3,0.0415039,233.755
35.287,0.171333,3205.54,0.23291,262.382
35.3798,0.153507,2280.58,0.128906,260.87
35.4727,0.119474,1812.31,0.0874023,224.492
35.5655,0.110368,1601.25,0.0805664,262.382
35.6584,0.134595,2969.46,0.17334,263.902
35.7513,0.142332,2962.99,0.151367,114.87
35.8441,0.162431,1223,0.0571289,112.896
35.937,0.14943,1081.07,0.0444336,205.86
36.0298,0.0668322,1325.12,0.0668945,130.435
36.1227,0.192945,2378.8,0.111328,193.187
36.2156,0.205276,1544.92,0.0585938,176.133
36.3084,0.219472,1375.46,0.0449219,208.252
36.4013,0.20707,1186.52,0.0454102,208.252
36.4941,0.199186,2013.99,0.0634766,232.409
36.587,0.259871,1952.11,0.0415039,235.11
36.6799,0.268111,2385.6,0.0571289,232.409
36.7727,0.197215,1885.44,0.0458984,232.409
36.8656,0.161323,1508.33,0.0327148,232.409
36.9584,0.168155,2332.41,0.0888672,233.755
37.0513,0.110256,3462.07,0.237305,120.303
37.1442,0.147408,1516.01,0.0322266,233.755
37.237,0.0912509,1105.2,0.0375977,233.755
37.3299,0.233465,1836.47,0.0527344,205.86
37.4228,0.213118,2250.41,0.0732422,213.12
37.5156,0.287359,1910.05,0.0395508,233.755
37.6085,0.229679,1975.69,0.0463867,232.409
37.7013,0.226215,1319.8,0.0317383,247.655
37.7942,0.186141,1125.66,0.0253906,249.09
37.8871,0.137308,889.424,0.0258789,247.655
37.9799,0.142957,3203.91,0.151855,256.389
38.0728,0.228185,2564.26,0.0932617,205.86
38.1656,0.282663,1455.48,0.0566406,208.252
38.2585,0.229512,1456.49,0.0737305,208.252
38.3514,0.186659,1770.36,0.0957031,233.755
38.4442,0.184948,2772.51,0.141113,228.416
38.5371,0.19017,1938.88,0.0742188,207.053
38.6299,0.123524,2841.5,0.12207,216.845
38.7228,0.178521,1851.99,0.0458984,214.355
38.8157,0.252768,1398.3,0.0371094,195.432
38.9085,0.233358,1227.99,0.0380859,201.159
39.0014,0.237931,1935.83,0.0532227,194.306
39.0942,0.203675,1870.09,0.0610352,196.564
39.1871,0.228923,1403.69,0.0419922,203.496
39.28,0.220368,1708.07,0.0742188,197.703
